alpha,camber,position_of_camber,thickness,Reynolds_number,cl,cd,ratio
0,0,0,0.12,1.00E+03,0,0.11867,0
0.5,0,0,0.12,1.00E+03,0.0265,0.11875,0.223157895
1,0,0,0.12,1.00E+03,0.0528,0.11901,0.443660197
1.5,0,0,0.12,1.00E+03,0.0787,0.11944,0.658908238
2,0,0,0.12,1.00E+03,0.1041,0.12006,0.867066467
2.5,0,0,0.12,1.00E+03,0.1289,0.12089,1.066258582
3,0,0,0.12,1.00E+03,0.1529,0.12193,1.253998196
3.5,0,0,0.12,1.00E+03,0.176,0.12321,1.428455483
4,0,0,0.12,1.00E+03,0.1981,0.12473,1.588230578
4.5,0,0,0.12,1.00E+03,0.219,0.12653,1.730814827
5,0,0,0.12,1.00E+03,0.2389,0.12865,1.856976292
5.5,0,0,0.12,1.00E+03,0.2577,0.13107,1.966124971
6,0,0,0.12,1.00E+03,0.2754,0.1338,2.058295964
6.5,0,0,0.12,1.00E+03,0.2921,0.13683,2.134765768
7,0,0,0.12,1.00E+03,0.3078,0.14014,2.196375054
7.5,0,0,0.12,1.00E+03,0.3227,0.14373,2.245181938
8,0,0,0.12,1.00E+03,0.337,0.14758,2.28350725
8.5,0,0,0.12,1.00E+03,0.3508,0.15169,2.312611247
9,0,0,0.12,1.00E+03,0.3643,0.15604,2.33465778
9.5,0,0,0.12,1.00E+03,0.3776,0.1606,2.351183064
10,0,0,0.12,1.00E+03,0.3909,0.16535,2.364076202
10.5,0,0,0.12,1.00E+03,0.4042,0.1703,2.373458602
11,0,0,0.12,1.00E+03,0.4175,0.17537,2.380680846
11.5,0,0,0.12,1.00E+03,0.4311,0.18058,2.387307565
12,0,0,0.12,1.00E+03,0.4449,0.18591,2.393093432
12.5,0,0,0.12,1.00E+03,0.459,0.19137,2.398495062
13,0,0,0.12,1.00E+03,0.4734,0.19695,2.40365575
13.5,0,0,0.12,1.00E+03,0.4882,0.20264,2.409198579
14,0,0,0.12,1.00E+03,0.5032,0.20844,2.414123969
14.5,0,0,0.12,1.00E+03,0.5185,0.21436,2.41882814
15,0,0,0.12,1.00E+03,0.534,0.22035,2.423417291
15.5,0,0,0.12,1.00E+03,0.5498,0.22642,2.428230722
16,0,0,0.12,1.00E+03,0.5658,0.23259,2.432606733
16.5,0,0,0.12,1.00E+03,0.582,0.23885,2.436675738
17,0,0,0.12,1.00E+03,0.5984,0.24521,2.440357245
